ORGANISM,NCBI GENOME ACCESSION,JGI IMG SUBMISSION ID
Archaea_Crenarchaeota_Thermoprotei_Desulfurococcales_Desulfurococcaceae_Aeropyrum_camini_SY1_JCM_12091,SAMD00013766,
Archaea_Crenarchaeota_Thermoprotei_Desulfurococcales_Desulfurococcaceae_Desulfurococcus_fermentans_Z_1312_DSM_16532,NC_018001,
Archaea_Crenarchaeota_Thermoprotei_Desulfurococcales_Desulfurococcaceae_Ignicoccus_hospitalis_KIN4I,NC_009776,
Archaea_Crenarchaeota_Thermoprotei_Desulfurococcales_Desulfurococcaceae_Ignisphaera_aggregans_DSM_17230_chromosome,SAMN00016987,
Archaea_Crenarchaeota_Thermoprotei_Desulfurococcales_Desulfurococcaceae_Ingnisphaeroid_species,,2799
Archaea_Crenarchaeota_Thermoprotei_Desulfurococcales_Desulfurococcaceae_Staphylothermus_hellenicus_DSM_12710_chromosome,NC_014205,
Archaea_Crenarchaeota_Thermoprotei_Desulfurococcales_Desulfurococcaceae_Thermogladius_cellulolyticus_1633,NC_017954,
Archaea_Crenarchaeota_Thermoprotei_Desulfurococcales_Desulfurococcaceae_Thermosphaera_aggregans_DSM_11486_chromosome,NC_014160,
Archaea_Crenarchaeota_Thermoprotei_Desulfurococcales_Pyrodictiaceae_Hyperthermus_butylicus_DSM_5456,NC_008818,
Archaea_Crenarchaeota_Thermoprotei_Desulfurococcales_Pyrodictiaceae_Pyrolobus_fumarii_1A_DSM_11204,NC_015931,
Archaea_Crenarchaeota_Thermoprotei_Desulfurococcales_Site_03_Desulfuro,,1365
Archaea_Crenarchaeota_Thermoprotei_Desulfurococcales_Site_04_Desulfuro,,1366
Archaea_Crenarchaeota_Thermoprotei_Desulfurococcales_Site_08_Desulfuro,,1367
Archaea_Crenarchaeota_Thermoprotei_Desulfurococcales_Site_19_Desulfuro,,1368
Archaea_Crenarchaeota_Thermoprotei_Fervidicoccales_Fervidicoccaceae_Fervidicoccus_fontis_Kam940,SAMN02603095,
Archaea_Crenarchaeota_Thermoprotei_Sulfolobales_Sulfolobaceae_Acidianus_hospitalis_W1_chromosome,NC_015518,
Archaea_Crenarchaeota_Thermoprotei_Sulfolobales_Sulfolobaceae_Metallosphaera_sedula_DSM_5348,NC_009440,
Archaea_Crenarchaeota_Thermoprotei_Sulfolobales_Sulfolobaceae_Sulfolobus_solfataricus_P2,NC_002754,
Archaea_Crenarchaeota_Thermoprotei_Sulfolobales_Sulfolobales_archaeon_Acd1,SAMN02470749,
Archaea_Crenarchaeota_Thermoprotei_Sulfolobales_Sulfolobales_archaeon_AZ1,SAMN03444554,
Archaea_Crenarchaeota_Thermoprotei_Thermoproteales_Archaea_Crenarchaeota_Thermoprotei_Thermoproteales_YNP_Site_19_Thermoproteales_Type_II,,2633
Archaea_Crenarchaeota_Thermoprotei_Thermoproteales_Archaea_Crenarchaeota_Thermoprotei_Thermoproteales_YNP_Site_4_Thermoproteales_Type_II,,2632
Archaea_Crenarchaeota_Thermoprotei_Thermoproteales_Thermofilaceae_Thermofilum_pendens_Hrk_5,NC_008698,
Archaea_Crenarchaeota_Thermoprotei_Thermoproteales_Thermoproteaceae_Caldivirga_maquilingensis_IC_167,NC_009954,
Archaea_Crenarchaeota_Thermoprotei_Thermoproteales_Thermoproteaceae_Pyrobaculum_aerophilum_IM2,SAMN03097695,
Archaea_Crenarchaeota_Thermoprotei_Thermoproteales_Thermoproteaceae_Thermoproteus_neutrophilus_V24Sta,CP001014,
Archaea_Crenarchaeota_Thermoprotei_Thermoproteales_Thermoproteaceae_Thermoproteus_uzoniensis_768_20_chromosome,NC_015315,
Archaea_Crenarchaeota_Thermoprotei_Thermoproteales_Thermoproteaceae_Vulcanisaeta_distributa_DSM_14429_chromosome,NC_014537,
Archaea_Crenarchaeota_Thermoprotei_Thermoproteales_YNP_Site_19_Thermoproteales_Type_I,,2282
Archaea_Crenarchaeota_Thermoprotei_Thermoproteales_YNP_Site_3_Thermoproteales_Type_I,,2280
Archaea_Crenarchaeota_Thermoprotei_Thermoproteales_YNP_Site_4_Thermoproteales_Type_I,,2281
Archaea_Crenarchaeota_Thermoprotei_Thermoproteales_YNP_Site_8_Thermoproteales_Type_I,,2631
Archaea_DPANN_Aenigmarchaeota_AR5_gwa2_scaffold_521,JWKQ00000000,
Archaea_DPANN_Diapherotrites_AR10_gwc2_scaffold_150,CP010424,
Archaea_DPANN_Diapherotrites_AR21_gwc2_scaffold_17919,JWKZ00000000,
Archaea_DPANN_Diapherotrites_candidate_division_DUSEL3_archaeon_SCGC_AAA011_E11_DUSEL_001_206,SAMN02441399,
Archaea_DPANN_Pacearchaeota_AR1_gwc2_scaffold_2477,JWKN00000000,
Archaea_DPANN_Pacearchaeota_AR13_gwb2_scaffold_657,JWKU00000000,
Archaea_DPANN_Pacearchaeota_AR19_gwa2_scaffold_250,JWKY00000000,
Archaea_DPANN_Pacearchaeota_AR6_gwa2_scaffold_10207,JWKR00000000,
Archaea_DPANN_Pacearchaeota_RBG_13_Pacearchaeota_33_26,SAMN04316263,
Archaea_DPANN_Pacearchaeota_RBG_13_Pacearchaeota_36_9,SAMN04316262,
Archaea_DPANN_Pacearchaeota_RBG_16_Pacearchaeota_35_8,SAMN04316251,
Archaea_DPANN_Woesearchaeota_AR11_gwa2_scaffold_3980,JWKT00000000,
Archaea_DPANN_Woesearchaeota_AR15_gwa2_scaffold_65,CP010425,
Archaea_DPANN_Woesearchaeota_AR16_gwa2_scaffold_1808,JWKV00000000,
Archaea_DPANN_Woesearchaeota_AR17_gwa2_scaffold_2520,JWKW00000000,
Archaea_DPANN_Woesearchaeota_AR18_gwa2_scaffold_1772,JWKX00000000,
Archaea_DPANN_Woesearchaeota_AR20_gwa2_scaffold_32,CP010426,
Archaea_DPANN_Woesearchaeota_AR3_gwa2_scaffold_210,JWKO00000000,
Archaea_DPANN_Woesearchaeota_AR4_gwa2_scaffold_135,JWKP00000000,
Archaea_DPANN_Woesearchaeota_AR9_gwa2_scaffold_1018,JWKS00000000,
Archaea_DPANN_Woesearchaeota_RBG_13_Woesearchaeota_36_6,SAMN04316261,
Archaea_Euryarchaeota_Altiarchaeales_Altiarchaeum_hamiconexum,PRJEB6121,
Archaea_Euryarchaeota_Archaeoglobi_Archaeoglobales_Archaeoglobaceae_Archaeoglobus_fulgidus_DSM_8774,NC_000917,
Archaea_Euryarchaeota_Archaeoglobi_Archaeoglobales_Archaeoglobaceae_Ferroglobus_placidus_DSM_10642_chromosome,NC_013849,
Archaea_Euryarchaeota_Euryarchaeota_archaeon_SCGC_AC_312_F18,SAMN02745106,
Archaea_Euryarchaeota_Halobacteria_Halobacteriales_haloarchaeon_3A1_DGR,SAMN02469738,
Archaea_Euryarchaeota_Halobacteria_Halobacteriales_Halobacteriaceae_Haladaptatus_paucihalophilus_DX253_DSM_18195,NZ_AQXI00000000,
Archaea_Euryarchaeota_Halobacteria_Halobacteriales_Halobacteriaceae_Halalkalicoccus_jeotgali_B3_chromosome,NC_014297,
Archaea_Euryarchaeota_Halobacteria_Halobacteriales_Halobacteriaceae_Haloarcula_marismortui_ATCC_43049,NC_006396,
Archaea_Euryarchaeota_Halobacteria_Halobacteriales_Halobacteriaceae_Halobacteriaceae_archaeon_G22,NZ_ASGZ00000000,
Archaea_Euryarchaeota_Halobacteria_Halobacteriales_Halobacteriaceae_Halobacterium_sp._NRC_1,NC_010364,
Archaea_Euryarchaeota_Halobacteria_Halobacteriales_Halobacteriaceae_Halobaculum_sp._A07HB70,,7245
Archaea_Euryarchaeota_Halobacteria_Halobacteriales_Halobacteriaceae_Halobiforma_nitratireducens_JCM_10879,NZ_AOMA00000000,
Archaea_Euryarchaeota_Halobacteria_Halobacteriales_Halobacteriaceae_Halococcus_saccharolyticus_DSM_5350,NZ_AOMD00000000,
Archaea_Euryarchaeota_Halobacteria_Halobacteriales_Halobacteriaceae_Haloferax_mediterranei_R_4_ATCC_33500,NC_017941,
Archaea_Euryarchaeota_Halobacteria_Halobacteriales_Halobacteriaceae_Halogeometricum_borinquense_DSM_11551_chromosome,NC_014729,
Archaea_Euryarchaeota_Halobacteria_Halobacteriales_Halobacteriaceae_Halogranum_salarium_B_1,NZ_ALJD00000000,
Archaea_Euryarchaeota_Halobacteria_Halobacteriales_Halobacteriaceae_Halomicrobium_mukohataei_DSM_12286,NC_013202,
Archaea_Euryarchaeota_Halobacteria_Halobacteriales_Halobacteriaceae_Halonotius_sp._A07HN63,AYLK00000000,
Archaea_Euryarchaeota_Halobacteria_Halobacteriales_Halobacteriaceae_Halonotius_sp._J07ABHN4_version_2,PRJNA70847,
Archaea_Euryarchaeota_Halobacteria_Halobacteriales_Halobacteriaceae_Halopiger_xanaduensis_SH_6,NC_015666,
Archaea_Euryarchaeota_Halobacteria_Halobacteriales_Halobacteriaceae_Haloplanus_natans_RE_101_DSM_17983,NZ_ATYM00000000,
Archaea_Euryarchaeota_Halobacteria_Halobacteriales_Halobacteriaceae_Haloquadratum_walsbyi_HBSQ001_DSM_16790,NC_008212,
Archaea_Euryarchaeota_Halobacteria_Halobacteriales_Halobacteriaceae_Halorhabdus_utahensis_DSM_12940,NC_013158,
Archaea_Euryarchaeota_Halobacteria_Halobacteriales_Halobacteriaceae_Halorubrum_lacusprofundi_ATCC_49239,NC_012029,
Archaea_Euryarchaeota_Halobacteria_Halobacteriales_Halobacteriaceae_Halorubrum_sp._A07HR60,AYLL00000000,
Archaea_Euryarchaeota_Halobacteria_Halobacteriales_Halobacteriaceae_Halorubrum_sp._A07HR67,AYLI00000000,
Archaea_Euryarchaeota_Halobacteria_Halobacteriales_Halobacteriaceae_Halosarcina_pallida_JCM_14848,NZ_AOIV00000000,
Archaea_Euryarchaeota_Halobacteria_Halobacteriales_Halobacteriaceae_Halosimplex_carlsbadense_2_9_1,NZ_AOIU00000000,
Archaea_Euryarchaeota_Halobacteria_Halobacteriales_Halobacteriaceae_Halostagnicola_larsenii_XH_48_DSM_176,NZ_CP007055,
Archaea_Euryarchaeota_Halobacteria_Halobacteriales_Halobacteriaceae_Haloterrigena_turkmenica_DSM_5511,NC_013743,
Archaea_Euryarchaeota_Halobacteria_Halobacteriales_Halobacteriaceae_Halovivax_ruber_XH_70_DSM_18193,CP003050,
Archaea_Euryarchaeota_Halobacteria_Halobacteriales_Halobacteriaceae_Natrialba_magadii_ATCC_43099_chromosome,NC_013922,
Archaea_Euryarchaeota_Halobacteria_Halobacteriales_Halobacteriaceae_Natrinema_pellirubrum_157_JCM_10476,NC_019962,
Archaea_Euryarchaeota_Halobacteria_Halobacteriales_Halobacteriaceae_Natronobacterium_gregoryi_SP2_DSM_3393,NC_019792,
Archaea_Euryarchaeota_Halobacteria_Halobacteriales_Halobacteriaceae_Natronococcus_occultus_SP4_DSM_3396,NC_019974,
Archaea_Euryarchaeota_Halobacteria_Halobacteriales_Halobacteriaceae_Natronolimnobius_innermongolicus_JCM_12255,NZ_AOHZ00000000,
Archaea_Euryarchaeota_Halobacteria_Halobacteriales_Halobacteriaceae_Natronomonas_pharaonis_Gabara_DSM_2160,NC_007426,
Archaea_Euryarchaeota_Halobacteria_Halobacteriales_Halobacteriaceae_Natronorubrum_sulfidifaciens_JCM_14089,NZ_AOHX00000000,
Archaea_Euryarchaeota_Halobacteria_Haloferacales_Haloferacaceae_Halohasta_litchfieldiae_tADL__Hlit_replicon_OLD_NAMEhalophilic_archaeon_sp._True_ADL,SAMN00117514,
Archaea_Euryarchaeota_Halobacteria_halophilic_archaeon_sp._DL31__DL31_replicon_1_OLD_NAME_halophilic_archaeon_sp._DL31,NC_015954,
Archaea_Euryarchaeota_Halobacteria_Natrialbales_Natrialbaceae_Salinarchaeum_sp._Harcht_Bsk1,NC_021313,
Archaea_Euryarchaeota_Methanobacteria_Methanobacteriales_Methanobacteriaceae_Methanobacterium_sp._SWAN_1_chromosome,NC_015574,
Archaea_Euryarchaeota_Methanobacteria_Methanobacteriales_Methanobacteriaceae_Methanobrevibacter_smithii_ATCC_35061,NC_009515,
Archaea_Euryarchaeota_Methanobacteria_Methanobacteriales_Methanobacteriaceae_Methanosphaera_stadtmanae_DSM_3091,NC_007681,
Archaea_Euryarchaeota_Methanobacteria_Methanobacteriales_Methanobacteriaceae_Methanothermobacter_thermautotrophicus_Delta_H,NC_000916,
Archaea_Euryarchaeota_Methanobacteria_Methanobacteriales_Methanothermaceae_Methanothermus_fervidus_DSM_2088_chromosome,NC_014658,
Archaea_Euryarchaeota_Methanococci_Methanococcales_Methanocaldococcaceae_Methanocaldococcus_jannaschii_DSM_2661,L77117,
Archaea_Euryarchaeota_Methanococci_Methanococcales_Methanocaldococcaceae_Methanotorris_igneus_Kol_5_chromosome,NC_015562,
Archaea_Euryarchaeota_Methanococci_Methanococcales_Methanococcaceae_Methanococcus_maripaludis_S2,NC_005791,
Archaea_Euryarchaeota_Methanococci_Methanococcales_Methanococcaceae_Methanothermococcus_okinawensis_IH1_chromosome,NC_015636,
Archaea_Euryarchaeota_Methanomicrobia_Methanocellales_Methanocellaceae_Methanocella_sp._RC_I_Manual_curation_by_Zhe_Lv,AP011532,
Archaea_Euryarchaeota_Methanomicrobia_Methanocellales_Methanoflorens_stordalenmirensis_Draft_v4.3.2,,11401
Archaea_Euryarchaeota_Methanomicrobia_Methanomicrobiales_Methanocorpusculaceae_Methanocorpusculum_labreanum_Z,NC_008942,
Archaea_Euryarchaeota_Methanomicrobia_Methanomicrobiales_Methanomicrobiaceae_Methanoculleus_bourgensis_MS2,NC_018227,
Archaea_Euryarchaeota_Methanomicrobia_Methanomicrobiales_Methanomicrobiaceae_Methanofollis_liminatans_GKZPZ_DSM_4140,NZ_CM001555,
Archaea_Euryarchaeota_Methanomicrobia_Methanomicrobiales_Methanomicrobiaceae_Methanomicrobium_mobile_BP_DSM_1539,NZ_JOMF00000000,
Archaea_Euryarchaeota_Methanomicrobia_Methanomicrobiales_Methanomicrobiaceae_Methanoplanus_petrolearius_DSM_11571_chromosome,NC_014507,
Archaea_Euryarchaeota_Methanomicrobia_Methanomicrobiales_Methanoregulaceae_Candidatus_Methanoregula_boonei_6A8,NC_009712,
Archaea_Euryarchaeota_Methanomicrobia_Methanomicrobiales_Methanoregulaceae_Candidatus_Methanosphaerula_palustris_E1_9c,NC_011832,
Archaea_Euryarchaeota_Methanomicrobia_Methanomicrobiales_Methanoregulaceae_Methanolinea_tarda_NOBI_1,NZ_AGIY02000001,
Archaea_Euryarchaeota_Methanomicrobia_Methanomicrobiales_Methanospirillaceae_Methanospirillum_hungatei_JF_1,NC_007796,
Archaea_Euryarchaeota_Methanomicrobia_Methanosarcinales_Methanosaetaceae_Methanosaeta_thermophila_PT,CP000477,
Archaea_Euryarchaeota_Methanomicrobia_Methanosarcinales_Methanosarcinaceae_Methanococcoides_burtonii_DSM_6242,NC_007955,
Archaea_Euryarchaeota_Methanomicrobia_Methanosarcinales_Methanosarcinaceae_Methanohalobium_evestigatum_Z_7303_chromosome,NC_014253,
Archaea_Euryarchaeota_Methanomicrobia_Methanosarcinales_Methanosarcinaceae_Methanohalophilus_mahii_DSM_5219_chromosome,NC_014002,
Archaea_Euryarchaeota_Methanomicrobia_Methanosarcinales_Methanosarcinaceae_Methanolobus_psychrophilus_R15,NC_018876,
Archaea_Euryarchaeota_Methanomicrobia_Methanosarcinales_Methanosarcinaceae_Methanomethylovorans_hollandica_DSM_15978,NC_019977,
Archaea_Euryarchaeota_Methanomicrobia_Methanosarcinales_Methanosarcinaceae_Methanosalsum_zhilinae_WeN5_DSM_404017,NC_015676,
Archaea_Euryarchaeota_Methanomicrobia_Methanosarcinales_Methanosarcinaceae_Methanosarcina_barkeri_Fusaro_DSM_804,NC_007355,
Archaea_Euryarchaeota_Methanomicrobia_Methanosarcinales_Methermicoccaceae_Methermicoccus_shengliensis_DSM_18856,NZ_JONQ00000000,
Archaea_Euryarchaeota_Methanomicrobia_Methanosarcinales_uncultured_Methanosarcinales_sp._ANME_2D_ANME_V10,NZ_JMIY00000000,
Archaea_Euryarchaeota_Methanomicrobia_unclassified_Methanomicrobia_Candidatus_Methanomassiliicoccus_intestinalis_Issoire_Mx1,NC_021353,
Archaea_Euryarchaeota_Methanopyri_Methanopyrales_Methanopyraceae_Methanopyrus_kandleri_AV19,AE009439,
Archaea_Euryarchaeota_RBG_13_Euryarchaeota_31_8,SAMN04316266,
Archaea_Euryarchaeota_Thermococci_Thermococcales_Thermococcaceae_Palaeococcus_pacificus_DY20341,NZ_CP006019,
Archaea_Euryarchaeota_Thermococci_Thermococcales_Thermococcaceae_Pyrococcus_furiosus_DSM_3638,NC_003413,
Archaea_Euryarchaeota_Thermococci_Thermococcales_Thermococcaceae_Thermococcus_kodakarensis_KOD1,NC_006624,
Archaea_Euryarchaeota_Thermoplasmata_Methanomassiliicoccales_Methanomassiliicoccaceae_Candidatus_Methanomethylophilus_alvus_Mx1201,NC_020913,
Archaea_Euryarchaeota_Thermoplasmata_Thermoplasmatales_Ferroplasmaceae_Ferroplasma_acidarmanus_Fer1,NC_021592,
Archaea_Euryarchaeota_Thermoplasmata_Thermoplasmatales_Picrophilaceae_Picrophilus_torridus_DSM_9790,NC_005877,
Archaea_Euryarchaeota_Thermoplasmata_Thermoplasmatales_Thermoplasmataceae_Thermoplasma_acidophilum_DSM_1728,NC_002578,
Archaea_Euryarchaeota_Thermoplasmata_Thermoplasmatales_Thermoplasmatales_archaeon_BRNA1,NC_020892,
Archaea_Euryarchaeota_Thermoplasmata_Thermoplasmatales_Thermoplasmatales_archaeon_SCGC_AB_539_C06,SAMN02261088,
Archaea_Euryarchaeota_unclassified_Euryarchaeota_Aciduliprofundum_boonei_T469_chromosome,NC_013926,
Archaea_Euryarchaeota_unclassified_Euryarchaeota_Marine_Group_II_uncultured_marine_group_II_euryarchaeote,SAMN02954313,
Archaea_Korarchaeota_Candidatus_Korarchaeum_cryptofilum_OPF8,NC_010482,
Archaea_Lokiarchaeaota_archeaon_Loki,JYIM00000000,
Archaea_Nanoarchaeota_candidate_division_DUSEL4_archaeon_SCGC_AAA011_G17_DUSEL_001_198,SAMN02440388,
Archaea_Nanoarchaeota_candidate_division_DUSEL4_archaeon_SCGC_AAA011_L15_DUSEL_001_208,SAMN02440389,
Archaea_Nanoarchaeota_candidate_division_DUSEL4_archaeon_SCGC_AAA011_L22_Combined_Assembly_DUSEL4_1__DUSEL4,SAMN02440424,
Archaea_Nanoarchaeota_Nanoarchaeum_equitans_Kin4_M,AE017199,
Archaea_Nanohaloarchaeota_Nanohaloarchaea_Candidatus_Haloredivivus_sp._G17,AGNT00000000,
Archaea_Nanohaloarchaeota_Nanohaloarchaea_uncultured_halophilic_archaeon_J0756AB_J07NFR56,PRJNA52645,
Archaea_Parvarchaeota_ARMAN_Candidatus_Micrarchaeum_acidiphilum_ARMAN2,PRJNA38565,
Archaea_Parvarchaeota_ARMAN_Candidatus_Parvarchaeum_acidophilus_ARMAN5,SAMN02954274,
Archaea_Thaumarchaeota_Cenarchaeales_Cenarchaeaceae_Cenarchaeum_symbiosum_A.,DP000238,
Archaea_Thaumarchaeota_CSP1_1,SAMN03462092,
Archaea_Thaumarchaeota_MCG_Thaumarcheon_SCGC_AB_539_E09,SAMN02261086,
Archaea_Thaumarchaeota_Nitrosopumilales_Nitrosopumilaceae_Candidatus_Nitrosopumilus_koreensis_AR1,CP003842,
Archaea_Thaumarchaeota_Nitrosopumilales_Nitrosopumilaceae_Nitrosopumilus_sp._MY1_MY1,NZ_AFPU00000000,
Archaea_Thaumarchaeota_Nitrososphaerales_Nitrososphaeraceae_Nitrososphaera_viennensis_EN76,CP007536,
Archaea_Thaumarchaeota_RBG_16_Thaumarchaeota_49_8,SAMN04316250,
Archaea_Thaumarchaeota_Thaumarchaeota_archaeon_MY2,NZ_AVSQ00000000,
Archaea_Thaumarchaeota_Thaumarchaeota_archaeon_SCGC_AAA282_K18,AXWL00000000,
Archaea_Thaumarchaeota_Thaumarchaeota_archaeon_SCGC_AB_179_E04_GBS_N_001_221,ASPK00000000,
Archaea_Thaumarchaeota_Thaumarchaeota_archaeon_SCGC_AB_663_P07,PRJNA190796,
Archaea_Thaumarchaeota_Thaumarchaeota_archaeon_strain_BS4,,12021
Archaea_Thaumarchaeota_Thaumarchaeota_archaeon_strain_DS1_Dragon_Thaumarchaeon,,6991
Archaea_Thaumarchaeota_unclassified_Thaumarchaeota_Candidatus_Caldiarchaeum_subterraneum,BA000048,
Archaea_Thaumarchaeota_unclassified_Thaumarchaeota_Marine_Group_I_Marine_Group_I_crenarchaeon_SCGC_AB_629_I23,ARWQ00000000,
Archaea_Thaumarchaeota_unclassified_Thaumarchaeota_Marine_Group_I_Marine_Group_I_crenarchaeote_sp._SCGC_AAA288_I14,,8221
Archaea_Thaumarchaeota_unclassified_Thaumarchaeota_Marine_Group_I_Marine_Group_I_thaumarchaeote_SCGC_AAA007_O23_TG_002_783,SAMN02440520,
Archaea_Thaumarchaeota_unclassified_Thaumarchaeota_Marine_Group_I_Marine_Group_I_thaumarchaeote_SCGC_AAA160_J20,SAMN02746032,
Archaea_Thaumarchaeota_unclassified_Thaumarchaeota_Marine_Group_I_Marine_Group_I_thaumarchaeote_SCGC_AAA799_E16,SAMN02851527,
Archaea_Thaumarchaeota_unclassified_Thaumarchaeota_Marine_Group_I_Marine_Group_I_thaumarchaeote_SCGC_AAA799_N04,SAMN02854326,
Archaea_Thaumarchaeota_unclassified_Thaumarchaeota_Marine_Group_I_Marine_Group_I_thaumarchaeote_sp._SCGC_AAA007_E15,,14067
Archaea_Thaumarchaeota_unclassified_Thaumarchaeota_Marine_Group_I_Marine_Group_I_thaumarchaeote_sp._SCGC_AAA008_E15,,14072
Archaea_Thaumarchaeota_unclassified_Thaumarchaeota_Marine_Group_I_Marine_Group_I_thaumarchaeote_sp._SCGC_AAA008_G03,,14074
Archaea_Thaumarchaeota_unclassified_Thaumarchaeota_Marine_Group_I_Marine_Group_I_thaumarchaeote_sp._SCGC_AAA008_M21,,14075
Archaea_Thaumarchaeota_unclassified_Thaumarchaeota_Marine_Group_I_Marine_Group_I_thaumarchaeote_sp._SCGC_AAA008_O05,,14078
Archaea_Thaumarchaeota_unclassified_Thaumarchaeota_Marine_Group_I_Marine_Group_I_thaumarchaeote_sp._SCGC_AAA008_O18,,14079
Archaea_Thaumarchaeota_unclassified_Thaumarchaeota_Marine_Group_I_Marine_Group_I_thaumarchaeote_sp._SCGC_AAA008_P02,,14080
Archaea_Thaumarchaeota_unclassified_Thaumarchaeota_Marine_Group_I_Marine_Group_I_thaumarchaeote_sp._SCGC_AAA288_C17,,14082
Archaea_Thaumarchaeota_unclassified_Thaumarchaeota_Marine_Group_I_Marine_Group_I_thaumarchaeote_sp._SCGC_AAA288_D03,,14083
Archaea_Thaumarchaeota_unclassified_Thaumarchaeota_Marine_Group_I_Marine_Group_I_thaumarchaeote_sp._SCGC_AAA288_E09,,14085
Archaea_Thaumarchaeota_unclassified_Thaumarchaeota_Marine_Group_I_Marine_Group_I_thaumarchaeote_sp._SCGC_AAA288_G05,,14086
Archaea_Thaumarchaeota_unclassified_Thaumarchaeota_Marine_Group_I_Marine_Group_I_thaumarchaeote_sp._SCGC_AAA288_K05,,14088
Archaea_Thaumarchaeota_unclassified_Thaumarchaeota_Marine_Group_I_Marine_Group_I_thaumarchaeote_sp._SCGC_AAA288_M23,,14059
Archaea_Thaumarchaeota_unclassified_Thaumarchaeota_Marine_Group_I_Marine_Group_I_thaumarchaeote_sp._SCGC_AAA288_N23,,14061
Archaea_Thaumarchaeota_unclassified_Thaumarchaeota_Marine_Group_I_Marine_Group_I_thaumarchaeote_sp._SCGC_AAA288_O22,,14063
Archaea_Thaumarchaeota_unclassified_Thaumarchaeota_Marine_Group_I_Marine_Group_I_thaumarchaeote_sp._SCGC_AAA288_P02,,14064
Archaea_Thaumarchaeota_unclassified_Thaumarchaeota_Marine_Group_I_Marine_Group_I_thaumarchaeote_sp._SCGC_AAA288_P18,,14065
Archaea_Thaumarchaeota_unclassified_Thaumarchaeota_Marine_Group_I_Marine_Group_III_euryarchaeote_sp._SCGC_AAA288_E19,AQTX00000000,
Archaea_Unclassfied_archaea_RBG_16_Micrarchaeota_49_10,SAMN04316252,
Archaea_Unclassfied_archaea_WOR_bin_STMZ1_77,SAMN03994190,
Archaea_Unclassified_archaea_RBG_16_Micrarchaeota_36_9,SAMN04316253,
Archaea_unclassified_archaea_SG8_8,SAMN03793022,
Archaea_CP_Thorarchaeota_WOR_bin_SMTZ1_83,SAMN03998758,
Archaea_unclassified_Candidatus_Nanobsidianus_stetteri_Final_anotation_based_on_arCOG,SAMN02470757,
Archaea_uncultured_archaeon_J07ABHN6_version_2,PRJNA209890,
Archaea_uncultured_halophilic_archaeon_J07ABHX64,AGCY00000000,
Archaea_uncultured_halophilic_archaeon_J07ABHX67_version_2,,5851
Bacteria_Acidobacteria_RBG_13_Acidobacteria_68_16,SAMN04313999,
Bacteria_Acidobacteria_RBG_16_Acidobacteria_64_8,SAMN04313747,
Bacteria_Acidobacteria_RBG_16_Acidobacteria_68_9,SAMN04316163,
Bacteria_Acidobacteria_RBG_16_Acidobacteria_70_10,SAMN04313695,
Bacteria_Acidobacteria_RIFCSPHIGHO2_01_FULL_Acidobacteria_67_28,SAMN04314773,
Bacteria_Acidobacteria_RIFCSPLOWO2_02_FULL_Acidobacteria_59_13,SAMN04315915,
Bacteria_Acidobacteria_RIFCSPLOWO2_02_FULL_Acidobacteria_60_20,SAMN04315982,
Bacteria_Acidobacteria_RIFCSPLOWO2_02_FULL_Acidobacteria_61_28,SAMN04315916,
