SRA Experiment Accession,Experiment Title,Instrument Model,Library Layout,Library Source,Sample Attribute,Study Accession,Study Title,Submission Center,Submission Date,Submission Lab,Taxon Id,Updated Date,Nucleotide Count,Read Count,Assembly L50,Assembly N50,CLC Bubble Size,CLC Word Size,Mapped Reads (%),Assembled Bases,Assembled Contigs,Assembled Scaffolds,MetaBAT Bins,MetaBAT Preset,Near-complete Genomes,Medium-quality Genomes,Partial Genomes,Archaeal Genomes,Archaeal PD,Archaeal PG,Bacterial Genomes,Bacterial PD,Bacterial PG
ERX288953,Marine metagenome GA IIx Pairee,unspecified,PAIRED - NOMINAL_LENGTH: 0;,METAGENOMIC,ENA-CHECKLIST: ERC000011,ERP003628,Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for protist,GSC,None,The Genoscope center,408172,12/10/14,5926517928,54875166,4659,3552,50,24,28.37,49484869,20034,14152,6,superspecific,0,0,0,0,0,0,0,0,0
ERX288954,Marine metagenome GA IIx Simple ou Paire,unspecified,PAIRED - NOMINAL_LENGTH: 0;,METAGENOMIC,ENA-CHECKLIST: ERC000011,ERP003628,Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for protist,GSC,None,The Genoscope center,408172,12/10/14,6879090456,63695282,1344,4020,50,24,13.92,18741858,7065,4803,11,superspecific,0,0,0,0,0,0,0,0,0
ERX288955,Marine metagenome GA IIx Pairee,unspecified,PAIRED - NOMINAL_LENGTH: 0;,METAGENOMIC,ENA-CHECKLIST: ERC000011,ERP003628,Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for protist,GSC,None,The Genoscope center,408172,12/10/14,19269297632,185281708,2608,9694,50,25,43.86,107400568,40102,16347,20,superspecific,0,0,0,0,0,0,0,0,0
ERX288958,Marine metagenome GA IIx Simple ou Paire,unspecified,PAIRED - NOMINAL_LENGTH: 0;,METAGENOMIC,ENA-CHECKLIST: ERC000011,ERP003628,Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for protist,GSC,None,The Genoscope center,408172,12/10/14,6994343736,64762442,1356,4043,50,24,13.72,18992171,7055,4869,13,superspecific,0,0,0,0,0,0,0,0,0
ERX288959,Marine metagenome GA IIx Simple ou Paire,unspecified,PAIRED - NOMINAL_LENGTH: 0;,METAGENOMIC,ENA-CHECKLIST: ERC000011,ERP003628,Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for protist,GSC,None,The Genoscope center,408172,12/10/14,6972884136,64563742,1349,4079,50,24,14.09,19188592,7005,4870,12,superspecific,0,0,0,0,0,0,0,0,0
ERX288960,Marine metagenome GA IIx Pairee,unspecified,PAIRED - NOMINAL_LENGTH: 0;,METAGENOMIC,ENA-CHECKLIST: ERC000011,ERP003628,Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for protist,GSC,None,The Genoscope center,408172,12/10/14,19288330672,185464718,2651,9578,50,25,43.76,107465182,40246,16467,20,superspecific,0,0,0,0,0,0,0,0,0
ERX288963,Marine metagenome HiSeq 2000 Paire chevauchant,Illumina HiSeq 2000,PAIRED - NOMINAL_LENGTH: 0;,METAGENOMIC,ENA-CHECKLIST: ERC000011,ERP003628,Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for protist,GSC,None,The Genoscope center,408172,11/21/14,17908772128,172199732,2957,5653,50,25,33.09,73325123,25632,14911,32,veryspecific,0,1,1,0,0,0,2,0.15%,0.01%
ERX288965,Marine metagenome HiSeq 2000 Paire chevauchant multiplex,Illumina HiSeq 2000,PAIRED - NOMINAL_LENGTH: 181;,METAGENOMIC,ENA-CHECKLIST: ERC000011,ERP003628,Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for protist,GSC,None,The Genoscope center,408172,11/21/14,27803851054,275285654,3971,4184,50,25,16.63,64358251,28896,15831,34,superspecific,0,0,0,0,0,0,0,0,0
ERX288968,Marine metagenome GA IIx Simple ou Paire,unspecified,PAIRED - NOMINAL_LENGTH: 0;,METAGENOMIC,ENA-CHECKLIST: ERC000011,ERP003628,Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for protist,GSC,None,The Genoscope center,408172,12/10/14,7347862296,68035762,1474,4728,50,24,21.17,28323477,11163,6414,21,superspecific,0,0,0,0,0,0,0,0,0
ERX288972,Marine metagenome GA IIx Pairee,unspecified,PAIRED - NOMINAL_LENGTH: 0;,METAGENOMIC,ENA-CHECKLIST: ERC000011,ERP003628,Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for protist,GSC,None,The Genoscope center,408172,12/10/14,6226013376,57648272,4179,3375,50,24,36.76,41291784,16471,12288,6,superspecific,0,0,0,0,0,0,0,0,0
ERX288973,Marine metagenome HiSeq 2000 Paire chevauchant multiplex,Illumina HiSeq 2000,PAIRED - NOMINAL_LENGTH: 214;,METAGENOMIC,ENA-CHECKLIST: ERC000011,ERP003628,Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for protist,GSC,None,The Genoscope center,408172,11/21/14,15718187620,155625620,2238,4433,50,24,13.5,38602434,19893,9204,24,superspecific,0,0,0,0,0,0,0,0,0
ERX288974,Marine metagenome GA IIx Simple ou Paire,unspecified,PAIRED - NOMINAL_LENGTH: 0;,METAGENOMIC,ENA-CHECKLIST: ERC000011,ERP003628,Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for protist,GSC,None,The Genoscope center,408172,12/10/14,20817680416,200170004,1152,3562,50,25,59.24,15316082,7414,4177,10,superspecific,0,0,0,0,0,0,0,0,0
ERX288975,Marine metagenome HiSeq 2000 Paire chevauchant multiplex,Illumina HiSeq 2000,PAIRED - NOMINAL_LENGTH: 201;,METAGENOMIC,ENA-CHECKLIST: ERC000011,ERP003628,Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for protist,GSC,None,The Genoscope center,408172,11/21/14,14402100252,142595052,2148,4433,50,24,13.11,36016833,18267,8628,22,superspecific,0,0,0,0,0,0,0,0,0
ERX289004,Illumina HiSeq 2000 paired end sequencing; Marine metagenome.,Illumina HiSeq 2000,PAIRED - NOMINAL_LENGTH: 0;,METAGENOMIC,Failed to decode,ERP001737,Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses,GSC,None,The Genoscope center,408172,8/20/15,18566062320,178519830,8599,4801,50,25,63.83,180100544,72294,39874,88,superspecific,1,1,1,0,0,0,3,0.20%,0.05%
ERX289005,Illumina HiSeq 2000 paired end sequencing; Marine metagenome.,Illumina HiSeq 2000,PAIRED - NOMINAL_LENGTH: 0;,METAGENOMIC,Failed to decode,ERP001737,Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses,GSC,None,The Genoscope center,408172,8/20/15,23001327648,221166612,9400,5530,50,25,73.07,219924654,94144,45409,84,superspecific,0,9,0,2,0.83%,0.01%,6,0.36%,0.04%
ERX289006,Illumina HiSeq 2000 paired end sequencing; Marine metagenome.,Illumina HiSeq 2000,PAIRED - NOMINAL_LENGTH: 0;,METAGENOMIC,Failed to decode,ERP001736,Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses,GSC,None,The Genoscope center,408172,8/20/15,7891005542,74369376,6891,3955,50,24,56.33,98137416,43191,25132,42,superspecific,0,2,0,0,0,0,2,0.16%,0.00%
ERX289007,Illumina HiSeq 2000 paired end sequencing; Marine metagenome.,Illumina HiSeq 2000,PAIRED - NOMINAL_LENGTH: 0;,METAGENOMIC,Failed to decode,ERP001736,Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses,GSC,None,The Genoscope center,408172,8/20/15,7906510735,74945278,6788,3826,50,24,55,89519069,40224,23640,37,veryspecific,0,1,0,0,0,0,1,0.00%,0.00%
ERX289008,Illumina HiSeq 2000 paired end sequencing; Marine metagenome.,Illumina HiSeq 2000,PAIRED - NOMINAL_LENGTH: 0;,METAGENOMIC,Failed to decode,ERP001736,Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses,GSC,None,The Genoscope center,408172,8/20/15,7753072838,73031176,6662,3986,50,24,55.95,96127926,41982,24462,35,verysensitive,0,3,0,0,0,0,2,0.16%,0.00%
ERX289009,Illumina HiSeq 2000 paired end sequencing; Marine metagenome.,Illumina HiSeq 2000,PAIRED - NOMINAL_LENGTH: 0;,METAGENOMIC,Failed to decode,ERP001736,Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses,GSC,None,The Genoscope center,408172,8/20/15,7931520724,74620732,6925,3770,50,24,54.88,89348576,39624,23854,41,superspecific,0,1,0,0,0,0,1,0.00%,0.00%
ERX289010,Illumina HiSeq 2000 paired end sequencing; Marine metagenome.,Illumina HiSeq 2000,PAIRED - NOMINAL_LENGTH: 173;,METAGENOMIC,Failed to decode,ERP001736,Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses,GSC,None,The Genoscope center,408172,8/20/15,31403376810,315859696,20287,4053,50,25,79.37,255969153,101133,66582,69,superspecific,0,0,0,0,0,0,0,0,0
ERX289011,Illumina HiSeq 2000 paired end sequencing; Marine metagenome.,Illumina HiSeq 2000,PAIRED - NOMINAL_LENGTH: 0;,METAGENOMIC,Failed to decode,ERP001736,Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for prokaryotes and large DNA viruses,GSC,None,The Genoscope center,408172,8/20/15,16030047281,162925886,9222,4772,50,25,68.01,181687375,80341,40691,81,superspecific,2,4,1,0,0,0,4,0.24%,0.06%
ERX291731,Marine metagenome HiSeq 2000 Simple ou Paire,Illumina HiSeq 2000,PAIRED - NOMINAL_LENGTH: 0;,METAGENOMIC,ENA-CHECKLIST: ERC000011,ERP003628,Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for protist,GSC,None,The Genoscope center,408172,11/21/14,16675230000,160338750,433,4593,50,25,31.98,13770589,6237,2973,3,superspecific,0,0,0,0,0,0,0,0,0
ERX291732,Marine metagenome HiSeq 2000 Simple ou Paire,Illumina HiSeq 2000,PAIRED - NOMINAL_LENGTH: 0;,METAGENOMIC,ENA-CHECKLIST: ERC000011,ERP003628,Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for protist,GSC,None,The Genoscope center,408172,11/21/14,6287250672,58215284,656,3657,50,24,14.3,7814943,3241,2172,1,superspecific,0,0,0,0,0,0,0,0,0
ERX291734,Marine metagenome HiSeq 2000 Simple ou Paire,Illumina HiSeq 2000,PAIRED - NOMINAL_LENGTH: 0;,METAGENOMIC,ENA-CHECKLIST: ERC000011,ERP003628,Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for protist,GSC,None,The Genoscope center,408172,11/21/14,6602573377,64623140,2571,3576,50,24,15.47,31042366,11607,8604,17,superspecific,0,0,0,0,0,0,0,0,0
ERX291735,Marine metagenome HiSeq 2000 Simple ou Paire,Illumina HiSeq 2000,PAIRED - NOMINAL_LENGTH: 0;,METAGENOMIC,ENA-CHECKLIST: ERC000011,ERP003628,Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for protist,GSC,None,The Genoscope center,408172,11/21/14,6818268755,66532292,2709,3618,50,24,15.86,33090538,12235,9093,19,superspecific,0,1,0,0,0,0,0,0,0
ERX291743,Marine metagenome HiSeq 2000 Simple ou Paire,Illumina HiSeq 2000,PAIRED - NOMINAL_LENGTH: 0;,METAGENOMIC,ENA-CHECKLIST: ERC000011,ERP003628,Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for protist,GSC,None,The Genoscope center,408172,11/21/14,17184442496,165235024,797,4010,50,25,24.27,15147766,6647,3722,3,superspecific,0,0,0,0,0,0,0,0,0
ERX291744,Marine metagenome GA IIx Simple ou Paire,unspecified,PAIRED - NOMINAL_LENGTH: 0;,METAGENOMIC,ENA-CHECKLIST: ERC000011,ERP003628,Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for protist,GSC,None,The Genoscope center,408172,12/10/14,8367229800,77474350,2131,3807,50,24,18.6,29346272,11490,7713,14,verysensitive,0,0,0,0,0,0,0,0,0
ERX291751,Marine metagenome GA IIx Simple ou Paire,unspecified,PAIRED - NOMINAL_LENGTH: 0;,METAGENOMIC,ENA-CHECKLIST: ERC000011,ERP003628,Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for protist,GSC,None,The Genoscope center,408172,12/10/14,8243475840,76328480,2116,3833,50,24,18.51,29110681,11289,7639,16,superspecific,0,0,0,0,0,0,0,0,0
ERX291760,Marine metagenome HiSeq 2000 Simple ou Paire,Illumina HiSeq 2000,PAIRED - NOMINAL_LENGTH: 0;,METAGENOMIC,ENA-CHECKLIST: ERC000011,ERP003628,Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for protist,GSC,None,The Genoscope center,408172,11/21/14,17611783696,169344074,4705,4088,50,25,20.02,70900738,33376,17796,36,veryspecific,0,0,0,0,0,0,0,0,0
ERX291761,Marine metagenome HiSeq 2000 Simple ou Paire,Illumina HiSeq 2000,PAIRED - NOMINAL_LENGTH: 0;,METAGENOMIC,ENA-CHECKLIST: ERC000011,ERP003628,Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for protist,GSC,None,The Genoscope center,408172,11/21/14,19090001216,183557704,366,6173,50,25,20.75,11965233,5689,2379,2,superspecific,0,0,0,0,0,0,0,0,0
